id,email,phone,mobile,category_id,address,city,country,creation_date,edit_date,creator_id,editor_id,id_number,name
1,,+1 224-667-6100,,1,,North Chicago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Abastible
2,,,,1,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Abbott
3,,,,1,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Abengoa
4,,+56 2 2269 6681,,1,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Acciona
5,,+1 319-395-7751,,1,,Arlington,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Acuasud
6,,,,1,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,AES Gener
7,,,,1,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Agrosuper
8,,+56 2 2582 7441,,1,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Aguaquim
9,,+56 224273000,,1,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Aguas Alemanas
10,,+56 224273000,,1,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Aguas CCU Nestlé - Casablanca
12,,56 52 220 3200,,1,,Copiapó,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Aguas CCU Nestlé - Coinco
13,,,,1,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Aguas Chañar S.A.
14,,,,1,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Aguas Claras
15,,,,1,,Punta Arenas,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Aguas del Altiplano
16,,56 22 733 4600,,1,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Aguas Magallanes
17,,,,1,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Aguas Nuevas
18,,+56 2 2277 5877,,1,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Aguas Pacífico SpA
19,,,,1,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Aguas Sipra
20,,+56 2 2270 9500,,1,,Lampa,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Aguas y Riles
21,,,,1,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Aguasin
22,,,,1,,Paris,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,AGUSTINAS
23,,,,1,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Air Liquide Chile
24,,,,1,,Pudahuel,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Aislantes Nacionales
25,,,,1,,Maipu,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Alcafood
26,,56224826500,,1,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Alimentos Fruna
27,,551230233365,,1,,Sao Paulo,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1,,Alimentos Winkler
