id,pn,title,description,list_price,multiplier,creation_date,edit_date,brand_id,creator_id,editor_id,note
1,010100-21100007,PALANCA PARA VÁLVULA MARIPOSA,,14,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
2,010200-21100007,PALANCA PARA VÁLVULA MARIPOSA,,15,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
3,010250-21141007,PALANCA PARA VÁLVULA MARIPOSA,,20,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
4,010400-21100007,PALANCA PARA VÁLVULA MARIPOSA,,15,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
5,010500-21100007,PALANCA PARA VÁLVULA MARIPOSA,,15,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
6,010600-21141007,PALANCA PARA VÁLVULA MARIPOSA,,25,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
7,010800-21100007,PALANCA PARA VÁLVULA MARIPOSA,,23,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
8,010800-21141007,PALANCA PARA VÁLVULA MARIPOSA,,27,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
9,011000-21100007,PALANCA PARA VÁLVULA MARIPOSA,,23,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
10,040200-21202002,CAJA DE ENGRANAJES SERIE 04,2000,103,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
11,040300-21202002,CAJA DE ENGRANAJES SERIE 04,8000,140,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
12,040500-21202002,CAJA DE ENGRANAJES SERIE 04,13000,208,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
13,040800-21202002,CAJA DE ENGRANAJES SERIE 04,24000,346,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
14,040800-21203002,CAJA DE ENGRANAJES SERIE 04,24000,356,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
15,041500-21210002,CAJA DE ENGRANAJES SERIE 04,,1715,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
16,050200-21202536,CAJA DE ENGRANAJES SERIE 05,2000,287,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
17,050300-21202536,CAJA DE ENGRANAJES SERIE 05,3000,249,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
18,050500-21202536,CAJA DE ENGRANAJES SERIE 05,13000,550,"0,46",2021-01-21 20:03:29.738920,2021-01-21 20:03:29.739024,1,1,1,
