id,name,email,phone,mobile,category,address,city,country,creation_date,edit_date,creator_id,editor_id
1,Abastible,, +1 224-667-6100,,Pharmaceuticals,,North Chicago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
2,Abbott,,,,Proyectos Agua,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
3,Abengoa,,,,Proyectos Agua,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
4,Acciona,, +56 2 2269 6681,,Proyectos Agua,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
5,Acuasud,, +1 319-395-7751,,Utilities,,Arlington,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
6,AES Gener,,,,Food Production,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
7,Agrosuper,,,,Proveedor,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
8,Aguaquim,, +56 2 2582 7441,,Proyectos Agua,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
9,Aguas Alemanas,, +56 224273000,,,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
10,Aguas CCU Nestlé - Casablanca,, +56 224273000,,,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
11,Aguas CCU Nestlé - Casablanca,, +56 224273000,,,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
12,Aguas CCU Nestlé - Coinco,,56 52 220 3200,,Aguas Municipales,,Copiapó,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
13,Aguas Chañar S.A.,,,,Proyectos Agua,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
14,Aguas Claras,,,,Aguas Municipales,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
15,Aguas del Altiplano,,,,Aguas Municipales,,Punta Arenas,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
16,Aguas Magallanes,,56 22 733 4600,,Aguas Municipales,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
17,Aguas Nuevas,,,,Proyectos Agua,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
18,Aguas Pacífico SpA,, +56 2 2277 5877,,Proyectos Agua,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
19,Aguas Sipra,,,,Proyectos Agua,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
20,Aguas y Riles,, +56 2 2270 9500,,Proyectos Agua,,Lampa,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
21,Aguasin,,,,Cemento y Áridos,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
22,AGUSTINAS,,,,Chemicals,,Paris,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
23,Air Liquide Chile,,,,Cemento y Áridos,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
24,Aislantes Nacionales,,,,Food Production,,Pudahuel,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
25,Alcafood,,,,Food & Beverages,,Maipu,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
26,Alimentos Fruna,,56224826500,,Food Production,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
27,Alimentos Winkler,,551230233365,,Food & Beverages,,Sao Paulo,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
28,Ambev,,61392269000,,Packaging and Containers,,Hawthorn,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
29,Amcor Limited,, +56 2 2441 1895,,Food & Beverages,,Cerrillos,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
30,AMF Etiquetas,,,,,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
31,antartic.cl,, +56 2 2274 3221,,Proveedor,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
32,Antilhue,,,,Proveedor,,Valencia,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
33,Aptein,, +56 2 2811 0714,,Proyectos Agua,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
34,Aquavant,,56 32 226 0000,,,,Valparaiso,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
35,Astilleros y Maestranzas de la Armada de Chile,, +56 2 2663 5300,,Chemicals,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
36,Austral Chemicals Chile S.A.,,,,Fishery,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
37,Australis,,,,Packaging and Containers,,Quilicura,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
38,B.O. Packaging S.A.,, +1 303-469-5511,,Packaging and Containers,,Broomfield,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
39,Ball Corporation,,,,Chemicals,,Ludwigshafen am Rhein,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
40,BASF SE,,,,Proyectos,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
41,Bec Ingeniería Y Construcciones,,2035635800,,Cosmetics,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
42,Beiersdorf,,,,Chemicals,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
43,Bravo Energy,, +1 281-894-5454,,Proveedor,,Pudahuel,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
44,Bray Controls S.A.,, +56 224402400,,Chemicals,,Mülheim,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
45,Brenntag AG,, +44 20 7845 1000,,Tobacco,,London,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
46,British American Tobacco,,,,Proveedor,,Ingelfingen,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
47,Bürkert Werke GmbH & Co. KG,,,,Proyectos,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
48,Calderas Chile Ltda,,,,Proyectos,,Cerro Navia,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
49,Calderas Industriales SPA,, +56 223776400,,Food Production,,San Bernardo,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
50,Carozzi,, +56 2 2480 6940,,Wine and Spirits,,Casablanca,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
51,Casas del Bosque,, +56 2 2381 1828,,Food Production,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
52,Castaño,, +56 224273000,,,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
53,CCU S.A.,, +1 617-452-6000,,Civil Engineering,,Boston,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
54,CDM Smith,,,,,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
55,Centrohidraulico,, +56 224273000,,,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
56,Cervecera CCU Chile,,,,Food & Beverages,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
57,Cervecería Chile S.A.,,,,Food & Beverages,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
58,Cerveza Quimera,,,,Food Production,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
59,CIAL Alimentos S.A.,,56 22 487 2000,,Proyectos,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
60,Claro Vicuña Valenzuela,,,,Chemicals,,Quilicura,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
61,Cloramon,, +1 510-271-7000,,Chemicals,,Quilicura,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
